place_id,name,rating,types,latitude,longitude,description,country,created
USA001,Statue of Liberty,4.8,Historical Landmark,40.6892,-74.0445,A famous historical landmark in USA.,USA,2025-02-26T20:52:14.224817
USA002,Grand Canyon,4.7,Natural Wonder,36.1069,-112.1129,A famous natural wonder in USA.,USA,2025-02-26T20:52:14.224833
USA003,Yellowstone National Park,4.2,National Park,44.428,-110.5885,A famous national park in USA.,USA,2025-02-26T20:52:14.224840
USA004,Disneyland,3.5,Theme Park,33.8121,-117.919,A famous theme park in USA.,USA,2025-02-26T20:52:14.224846
USA005,Times Square,4.2,Urban Attraction,40.758,-73.9855,A famous urban attraction in USA.,USA,2025-02-26T20:52:14.224851
USA006,Golden Gate Bridge,3.5,Bridge,37.8199,-122.4783,A famous bridge in USA.,USA,2025-02-26T20:52:14.224855
USA007,Mount Rushmore,4,Historical Monument,43.8791,-103.4591,A famous historical monument in USA.,USA,2025-02-26T20:52:14.224859
USA008,Las Vegas Strip,5,Entertainment,36.1147,-115.1728,A famous entertainment in USA.,USA,2025-02-26T20:52:14.224865
USA009,Niagara Falls,4.6,Waterfall,43.0962,-79.0377,A famous waterfall in USA.,USA,2025-02-26T20:52:14.224869
USA010,Central Park,4.4,Urban Park,40.7851,-73.9683,A famous urban park in USA.,USA,2025-02-26T20:52:14.224873
FRA001,Eiffel Tower,3.5,Historical Landmark,48.8584,2.2945,A famous historical landmark in France.,France,2025-02-26T20:52:14.224877
FRA002,Louvre Museum,4.8,Museum,48.8606,2.3376,A famous museum in France.,France,2025-02-26T20:52:14.224880
FRA003,Notre-Dame Cathedral,4.3,Historical Landmark,48.853,2.3499,A famous historical landmark in France.,France,2025-02-26T20:52:14.224883
FRA004,Palace of Versailles,3.6,Historical Landmark,48.8049,2.1204,A famous historical landmark in France.,France,2025-02-26T20:52:14.224900
FRA005,Mont Saint-Michel,4.1,Historical Landmark,48.6361,-1.5115,A famous historical landmark in France.,France,2025-02-26T20:52:14.224904
FRA006,Disneyland Paris,4.4,Theme Park,48.8674,2.7833,A famous theme park in France.,France,2025-02-26T20:52:14.224907
FRA007,Champs-Ã‰lysÃ©es,3.7,Urban Attraction,48.8698,2.3075,A famous urban attraction in France.,France,2025-02-26T20:52:14.224910
FRA008,Seine River Cruise,4.2,Entertainment,48.8566,2.3522,A famous entertainment in France.,France,2025-02-26T20:52:14.224913
